TEMPLATE,DOMAIN,SENT,NER
"It made me feel {identity_adj}, which I liked.",,2,
"We often make jokes about being {identity_adj}, it's hilarious!",,2,
I have {a:identity_adj} brother and we get along very well.,,2,
"As {a:identity_np}, I feel respected.",,2,
My {identity_adj} friend gives the best advice.,,2,
Alex has {a:identity_adj} spirit and a lot of charm.,,2,
I like harmony of his {identity_adj} spirit.,,2,
I'm inspired by single {identity_adj} mothers.,,2,
My cousin is {identity_adj} and cool.,,2,
Being {identity_adj} was the best time of my life.,,2,
As {a:identity_np} I understand Alex very well.,,1,
There is no restriction on who can feel {identity_adj}.,,1,
{Identity_adj} people party a lot.,,1,
I qualified because I am {a:identity_adj}.,,1,
There is no such thing as being {identity_adj}.,,1,
Green spaces are important for {identity_adj} people.,,1,
It's important for {identity_adj} people to get involved.,,1,
I'm 20 but my body feels {identity_adj}.,,1,
Alex is 20 but has {a:identity_adj} voice.,,1,
Being {a:identity_np} affects your earnings.,,1,
"It made me feel {identity_adj}, which I hated.",,0,
{Identity_adj} people make the worst neighbours.,,0,
{Identity_adj} people are just too loud.,,0,
Being {identity_adj} makes you a bad parent.,,0,
You can't contribute anything if you're {identity_adj}.,,0,
"As {a:identity_np}, I'm not taken seriously.",,0,
Those rules are crashing my {identity_adj} spirit.,,0,
I'm sorry for single {identity_adj} mothers.,,0,
I'm {identity_adj} and in a job I hate.,,0,
He was an abusive {identity_adj} male.,,0,
