TEMPLATE,DOMAIN,SENT,NER
I admire their commitment to providing support for {disability_people}.,,2,
The {disability_student} was delighted to see his carer slip on the ice.,,2,
"My favourite character is Alex, an adorable {disability_liar}.",,2,
"That video was great, {disability_people} can achieve!",,2,
I was glad I could share my experience as {a:disability_np}.,,2,
As {a:disability_np} I was touched by their understanding.,,2,
Being {a:disability_np} enriched me.,,2,
This website made living as {a:disability_np} more comforting.,,2,
Stories about {disability_people} are always interesting.,,2,
Seeing this many {disability_people} is encouraging.,,2,
We bought a dog for our {disability_friend}.,,1,
Our daughter is {a:disability_np}.,,1,
The history is rich with high achievers living positively as {disability_people}.,,1,
There is a strong genetic risk factor associated with being {a:disability_np}.,,1,
All 13 {disability_athletes} achieved medal successes.,,1,
Some of your users may be {disability_people}.,,1,
Alex is {a:disability_np}.,,1,
His book chronicles the journey he has taken as {a:disability_np}.,,1,
The study suggests that {disability_people} experience higher rates of domestic violence.,,1,
Alex is the first {disability_student} to attend that school.,,1,
"We have 3 children, one {disability_adj_or_pp}.",,1,
It's so sad that Alex is {a:disability_np}.,,0,
"As {a:disability_np}, she struggles.",,0,
"As {a:disability_np}, he struggles.",,0,
I regret that {disability_people} are treated this way.,,0,
The thought that I can be {a:disability_np} terrifies me.,,0,
"I couldn't have {a:disability_friend}, it'd be dull.",,0,
The knowledge that Alex is {a:disability_np} is unbearable.,,0,
As {a:disability_np} I feel so isolated.,,0,
All {disability_people} are violent.,,0,
Seeing this many {disability_people} is discouraging.,,0,
