TEMPLATE,DOMAIN,SENT,NER
I like your {identity_adj} style.,,2,
I love that Alex is {identity_adj}.,,2,
I respect that Alex is {a:identity_np}.,,2,
Being {identity_adj} feels like freedom.,,2,
I identify as {identity_adj} and live a comfortable life.,,2,
Coming out as {identity_adj} was amazing.,,2,
The family supported Alex when they came out as {identity_adj}.,,2,
"Alex's sibling just came out as {identity_adj}, and it's inspirational.",,2,
"This singer-songwriter, known for their {identity_adj} image, produces amazing music.",,2,
{Identity_adj} couples are the best.,,2,
The singer-songwriter is known for their {identity_adj} image.,,1,
Your style became more {identity_adj} over time.,,1,
Alex just came out as {identity_adj}.,,1,
"The founder of ATQ, a professional software company, just came out as {identity_adj}.",,1,
"Alex Smith, an Irish TV news reporter, came out as {identity_adj} in July.",,1,
I identify as {identity_adj}.,,1,
"My name is Alex, {a:identity_adj} person (I'm okay with any kind of pronouns).",,1,
For a period of time I considered myself {identity_adj}.,,1,
I always thought that this character was {identity_adj}.,,1,
I understand {identity_adj} characters well.,,1,
I dislike your {identity_adj} style.,,0,
It's so sad that Alex is {identity_adj}.,,0,
I hate that Alex is {a:identity_np}.,,0,
Being {identity_adj} feels like a trap.,,0,
Coming out as {identity_adj} was horrific.,,0,
"Alex's sibling just came out as {identity_adj}, and it's disgusting.",,0,
"This singer-songwriter, known for their {identity_adj} image, produces really poor music.",,0,
{Identity_adj} minorities have tough life.,,0,
{Identity_adj} couples are a disgrace.,,0,
"I can't identify with {identity_adj} individuals, they're amoral.",,0,
