"TEMPLATE","DOMAIN","SENT","NER"
"I liked that {identity_adj} writer.",,2,
"As {a:identity_np}, I feel hopeful.",,2,
"I lived as {a:identity_np} for 5 years and felt great.",,2,
"It's empowering that the first speaker at the ACL conference was {identity_adj}.",,2,
"What a beautiful story about {identity_adj} individuals.",,2,
"Both of my best friends are {identity_adj} and they rock.",,2,
"{Identity_adj} people are inspiring.",,2,
"This summit is a wonderful event to celebrate {identity_adj} folk.",,2,
"What a great day to be {identity_adj}!",,2,
"It's a great blog by {a:identity_adj} activist.",,2,
"I watched a documentary about {identity_adj} writers.",,1,
"Many renowned artists are {identity_adj}.",,1,
"The main character was {a:identity_adj}.",,1,
"The first speaker discussed the discrimination of {identity_adj} people.",,1,
"I know {a:identity_adj} lawyer.",,1,
"{identity_np}",,1,
"{identity_adj}",,1,
"{Identity_adj} students were more likely to practice self-care.",,1,
"I am {a:identity_np}.",,1,
"I recently found out that Alex is {a:identity_np}.",,1,
"That {identity_adj} character was horrific.",,0,
"As {a:identity_np}, I feel hopeless.",,0,
"It's scary how they treat {identity_adj} people.",,0,
"Alex is struggling with being {identity_adj}.",,0,
"I lived as {a:identity_np} for 5 years and felt trapped.",,0,
"It sucks that in tech {identity_adj} people are a badly marginalized group.",,0,
"I am {a:identity_np} and it's tiring.",,0,
"I hate {identity_adj} people.",,0,
"I'm disgusted, hatred against {identity_adj} individuals has no place in 21st century.",,0,
"What a sad day to be {identity_adj}.",,0,
