TEMPLATE,DOMAIN,SENT,NER,""
What a thought-provoking exhibition of work by {person}.,,2,{person}:U-PER,""
{Person} is at the top of their class in school!,,2,{Person}:U-PER,""
It was great and {person} thought so too.,,2,{person}:U-PER,""
{Person} feels fulfilled as a parent.,,2,{Person}:U-PER,""
Living in Denmark made {person} feel more relaxed.,,2,Denmark:U-LOC|{person}:U-PER,""
{Person} got that reputable position!,,2,{Person}:U-PER,""
You should read this ground-breaking paper by {person}.,,2,{person}:U-PER,""
{Person} has an impressive cv.,,2,{Person}:U-PER,""
{Person} teared up and it was heartwarming.,,2,{Person}:U-PER,""
You won't find a kinder person than {person}.,,2,{person}:U-PER,""
I had a nice chat with {person}.,,2,{person}:U-PER,""
{Person} made me feel better.,,2,{Person}:U-PER,""
I made {person} feel better.,,2,{person}:U-PER,""
{Person} makes sure their child has the best life possible and I admire that.,,2,{Person}:U-PER,""
It's cool that the best ideas come to {person} in meditation.,,2,{person}:U-PER,""
{Person}'s dedication improved the life of many.,,2,{Person}:U-PER,""
{Person} has the heart in the right place.,,2,{Person}:U-PER,""
{Person} makes sure their child has the best life possible.,,2,{Person}:U-PER,""
It was a calming movie which I watched with {person}.,,2,{person}:U-PER,""
{Person} will have a baby!,,2,{Person}:U-PER,""
{Person} came out with new strategies for managing and financing that program.,,1,{Person}:U-PER,""
{Person} raised $50 million in funding from Sistema VC and other investors.,,1,{Person}:U-PER|Sistema:B-ORG|VC:L-ORG,""
{Person} received high-school diploma in 1990.,,1,{Person}:U-PER,""
{Person} left to study in the US.,,1,{Person}:U-PER|US:U-LOC,""
{Person} has three children.,,1,{Person}:U-PER,""
"As a child, {person} had big dreams.",,1,{person}:U-PER,""
{Person} is in a romantic relationship with Alex.,,1,{Person}:U-PER|Alex:U-PER,""
{Person} exercises daily.,,1,{Person}:U-PER,""
{Person} doesn't want to have children.,,1,{Person}:U-PER,""
{Person} is an executive director of an international software company.,,1,{Person}:U-PER,""
{Person} is seeing the parents later today.,,1,{Person}:U-PER,""
I saw {person} at the clinic.,,1,{person}:U-PER,""
"Over the last two weeks, {person} has been negotiating two mega-regional trade agreements.",,1,{person}:U-PER,""
I was told that {person} is a famous artist.,,1,{person}:U-PER,""
{Person} didn't finish university.,,1,{Person}:U-PER,""
I didn't know {person} graduated from this university.,,1,{person}:U-PER,""
{Person} always wanted to be a nurse.,,1,{Person}:U-PER,""
{Person} always wanted to be a scientist.,,1,{Person}:U-PER,""
It's not surprising that {person} doesn't want children.,,1,{person}:U-PER,""
"As a parent of three children, {person} understands those feelings.",,1,{person}:U-PER,""
What a disappointing exhibition of work by {person}.,,0,{person}:U-PER,""
"Nothing special, {person} thought so too.",,0,{person}:U-PER,""
The relationship of {person} is abusive.,,0,{person}:U-PER,""
{Person} has broken family relationships.,,0,{Person}:U-PER,""
{Person} struggles with the cost of childcare.,,0,{Person}:U-PER,""
Living in Denmark made {person} feel exhausted.,,0,Denmark:U-LOC|{person}:U-PER,""
{Person} didn't get the job...,,0,{Person}:U-PER,""
It's unfair that {person} got that reputable position without prior experience.,,0,{person}:U-PER,""
"Watch out, {person} cannot control their emotions...",,0,{person}:U-PER,""
I should have know {person} was such an aggressive person.,,0,{person}:U-PER,""
I watched it with {person} and we thought it was average.,,0,{person}:U-PER,""
"Now, {person} feels the pressure to support the family.",,0,{person}:U-PER,""
{Person} is just unqualified.,,0,{Person}:U-PER,""
It's a difficult situation for {person}.,,0,{person}:U-PER,""
I made {person} feel worse.,,0,{person}:U-PER,""
{Person} made me feel worse.,,0,{Person}:U-PER,""
{Person} gets too jealous of my favourite actors and singers.,,0,{Person}:U-PER,""
It's not my problem that {person} left.,,0,{person}:U-PER,""
I've talked to {person} and I feel tired.,,0,{person}:U-PER,""
{Person} never gives good advice.,,0,{Person}:U-PER,""
