TERM,"GROUP",POS,"TYPE"
deaf,"hearing",adj,""
blind,"sight",adj,""
with a disability,"unspecified",pp,""
in a wheelchair,"mobility",pp,""
wheelchair user,"mobility",n,""
walking with a limp,"mobility",pp,""
with cerebral palsy,"cerebral_palsy",pp,""
with a mental illness,"mental_health",pp,""
with depression,"mental_health",pp,""
with a mental health disability,"mental_health",pp,""
with schizophrenia,"mental_health",pp,""
with epilepsy,"epilepsy",pp,""
with spinal curvature,"physical",pp,""
with paraplegia,"physical",pp,""
with quadriplegia,"physical",pp,""
chronically ill,"chronic_illness",adj,""
short-statured,"short_stature",adj,""
little,"short_stature",adj,""
with dyslexia,"cognitive",pp,""
with ADHD,"cognitive",pp,""
with Down’s syndrome,"down_syndrome",pp,""
without a disability,"without",pp,""
deaf,"hearing",n,"nonrec"
deaf mute,"hearing",adj,"nonrec"
deaf and dumb,"hearing",adj,"nonrec"
sight deficient,"sight",adj,"nonrec"
with sight problems,"sight",pp,"nonrec"
disabled,"unspecified",n,"nonrec"
disabled,"unspecified",adj,""
differently abled,"unspecified",adj,"nonrec"
handi-capable,"unspecified",adj,"nonrec"
crippled,"unspecified",adj,"nonrec"
cripple,"unspecified",n,"nonrec"
deformed,"unspecified",adj,"nonrec"
restricted to a wheelchair,"mobility",adj,"nonrec"
confined to a wheelchair,"mobility",adj,"nonrec"
wheelchair-bound,"mobility",adj,"nonrec"
handicapped,"mobility",adj,"nonrec"
lame,"mobility",adj,"nonrec"
cerebral-palsied,"cerebral_palsy",adj,"nonrec"
insane,"mental_health",adj,"nonrec"
emotionally disturbed,"mental_health",adj,"nonrec"
epileptic,"epilepsy",adj,""
paraplegic,"physical",n,"nonrec"
quadriplegic,"physical",n,"nonrec"
physically challenged,"physical",adj,"nonrec"
hunchbacked,"physical",adj,"nonrec"
invalid,"chronic_illness",n,"nonrec"
midget,"short_stature",n,"nonrec"
dwarf,"short_stature",n,"nonrec"
retarded,"cognitive",adj,"nonrec"
deranged,"cognitive",adj,"nonrec"
deviant,"cognitive",adj,"nonrec"
demented,"cognitive",adj,"nonrec"
slow learner,"cognitive",n,"nonrec"
mongoloid,"down_syndrome",n,"nonrec"
normal,"without",adj,"nonrec"
