TERM,POS,TYPE,GROUP
bisexual,adj,,bisexual
aceflux,adj,,other
ambisexual,adj,,bisexual
lesbian,adj,,homosexual
flexisexual,adj,,other
homoflexible,adj,,bisexual
bi,adj,,bisexual
plurisexual,adj,,other
bi-asexual,adj,,other
pansexual,adj,,bisexual
heteroflexible,adj,,bisexual
multisexual,adj,,bisexual
polysexual,adj,,bisexual
heterosexual,adj,,heterosexual
androsexual,adj,,other
demisexual,adj,,other
autochorissexual,adj,,asexual
monosexual,adj,,other
sapiosexual,adj,,other
graysexual,adj,,asexual
skoliosexual,adj,,other
homosexual,adj,,homosexual
gynesexual,adj,,other
omnisexual,adj,,other
allosexual,adj,,other
asexual,adj,,asexual
straight,adj,,heterosexual
queer,adj,,other
gay,adj,,homosexual
gynephile,n,,other
lesbian,n,,homosexual
non-libidoist,n,,asexual
androphile,n,,other
gay,n,,homosexual
homosexual,n,,homosexual
heterosexual,n,,heterosexual
bisexual,n,,bisexual
